trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
371,False,"{'a': 0.7, 'e': 0.25799999999999934}",20,15,3.5793065320052864,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.7, 'e': 0.25599999999999934}",20,5,-30.40948644070051,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
373,False,"{'a': 0.7, 'e': 0.25399999999999934}",20,8,-11.80303976317585,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
374,False,"{'a': 0.7, 'e': 0.25199999999999934}",25,17,3.957770678288445,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
375,False,"{'a': 0.7, 'e': 0.24999999999999933}",30,2,17.758337584087194,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.7, 'e': 0.24799999999999933}",20,11,-26.189849009757456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
377,False,"{'a': 0.7, 'e': 0.24599999999999933}",20,15,3.2497822893788695,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.7, 'e': 0.24399999999999933}",20,7,25.961098856255212,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.7, 'e': 0.24199999999999933}",20,0,21.340360363600336,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
380,False,"{'a': 0.7, 'e': 0.23999999999999932}",35,12,6.32782527027306,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
381,False,"{'a': 0.7, 'e': 0.23799999999999932}",20,11,-29.23208298092955,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
382,False,"{'a': 0.7, 'e': 0.23599999999999932}",25,4,25.23601496419979,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
383,False,"{'a': 0.7, 'e': 0.23399999999999932}",20,7,-41.81217294277098,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
384,False,"{'a': 0.7, 'e': 0.23199999999999932}",30,15,-42.43671608880261,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
385,False,"{'a': 0.7, 'e': 0.22999999999999932}",20,0,13.248294389068421,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
386,False,"{'a': 0.7, 'e': 0.22799999999999931}",30,16,5.644038251376535,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
387,False,"{'a': 0.7, 'e': 0.2259999999999993}",20,0,6.628642653005839,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
388,False,"{'a': 0.7, 'e': 0.2239999999999993}",25,8,15.928139076203466,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.7, 'e': 0.2219999999999993}",30,0,27.36902677059347,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
390,False,"{'a': 0.7, 'e': 0.2199999999999993}",20,12,15.836368548773851,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.7, 'e': 0.2179999999999993}",20,0,27.01632344240316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
392,False,"{'a': 0.7, 'e': 0.2159999999999993}",25,1,0.8588326660371606,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
393,False,"{'a': 0.7, 'e': 0.2139999999999993}",25,18,12.185776829469965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.7, 'e': 0.2119999999999993}",30,20,13.994490488437991,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.7, 'e': 0.2099999999999993}",25,6,12.373875735197489,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
396,False,"{'a': 0.7, 'e': 0.2079999999999993}",30,8,23.975073616008142,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.7, 'e': 0.2059999999999993}",20,0,-2.9906265869576494,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
398,False,"{'a': 0.7, 'e': 0.2039999999999993}",25,20,7.774439557201422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.7, 'e': 0.2019999999999993}",20,11,19.831185354940686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.7, 'e': 0.1999999999999993}",20,0,4.819483147907161,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
401,False,"{'a': 0.7, 'e': 0.1979999999999993}",25,17,13.755061233093606,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.7, 'e': 0.19599999999999929}",20,10,-33.65496078871999,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
403,False,"{'a': 0.7, 'e': 0.19399999999999928}",35,9,-20.20025578993815,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 0}",1
